name,global_batch_size,hparams step/best validation cross_entropy step,hparams step/best validation cross_entropy,hparams step/best validation acc step,hparams step/best validation acc,hparams epoch/best validation cross_entropy epoch,hparams epoch/best validation cross_entropy,hparams epoch/best validation acc epoch,hparams epoch/best validation acc
bs2048-codist,2048.0,4378.0,0.8982467651367188,4378.0,0.69395911693573,199.0,0.8982467651367188,199.0,0.69395911693573
bs2048-sgd,2048.0,1408.0,0.8710141181945801,1408.0,0.7022832632064819,64.0,0.8710141181945801,64.0,0.7022832632064819
bs2048-swadist-replicas,2048.0,3410.0,0.8828340172767639,3410.0,0.7001426219940186,155.0,0.8828340172767639,155.0,0.7001426219940186
bs2048-swadist,2048.0,4246.0,0.9366191029548645,4400.0,0.678906261920929,193.0,0.9366191029548645,200.0,0.678906261920929
bs512-codist,512.0,1672.0,0.8810155391693115,1672.0,0.7008674144744873,19.0,0.8810155391693115,19.0,0.7008674144744873
bs512-sgd,512.0,968.0,0.844375729560852,968.0,0.7156710028648376,11.0,0.844375729560852,11.0,0.7156710028648376
bs512-swadist-replicas,512.0,1584.0,0.8654398322105408,1584.0,0.7071691155433655,18.0,0.8654398322105408,18.0,0.7071691155433655
bs512-swadist,512.0,1672.0,0.8720017671585083,1672.0,0.7005285024642944,19.0,0.8720017671585083,19.0,0.7005285024642944
bs8192-codist,8192.0,1200.0,1.2189459800720215,1194.0,0.5799841284751892,200.0,1.2189459800720215,199.0,0.5799841284751892
bs8192-sgd,8192.0,1182.0,0.9618011116981506,1182.0,0.6726517081260681,197.0,0.9618011116981506,197.0,0.6726517081260681
bs8192-swadist-replicas,8192.0,1188.0,1.196059226989746,1188.0,0.6075499057769775,198.0,1.196059226989746,198.0,0.6075499057769775
bs8192-swadist,8192.0,1200.0,1.1931860446929932,1200.0,0.5938672423362732,200.0,1.1931860446929932,200.0,0.5938672423362732
bs1024-codist,1024.0,1364.0,0.8614802360534668,1364.0,0.7068558931350708,31.0,0.8614802360534668,31.0,0.7068558931350708
bs1024-sgd,1024.0,1012.0,0.9132558703422546,1012.0,0.6970145106315613,23.0,0.9132558703422546,23.0,0.6970145106315613
bs1024-swadist-replicas,1024.0,1144.0,0.8830286860466003,1144.0,0.703144907951355,26.0,0.8830286860466003,26.0,0.703144907951355
bs1024-swadist,1024.0,1276.0,0.8789932727813721,1276.0,0.7038224935531616,29.0,0.8789932727813721,29.0,0.7038224935531616
bs128-codist,128.0,3168.0,0.8660788536071777,3168.0,0.7036194801330566,9.0,0.8660788536071777,9.0,0.7036194801330566
bs128-sgd,128.0,1760.0,0.8790860772132874,1760.0,0.7003560066223145,5.0,0.8790860772132874,5.0,0.7003560066223145
bs128-swadist-replicas,128.0,3168.0,0.8592253923416138,3168.0,0.7090585827827454,9.0,0.8592253923416138,9.0,0.7090585827827454
bs128-swadist,128.0,3168.0,0.8385440707206726,3168.0,0.714992105960846,9.0,0.8385440707206726,9.0,0.714992105960846
bs256-codist,256.0,1936.0,0.8342171311378479,1936.0,0.7109375,11.0,0.8342171311378479,11.0,0.7109375
bs256-sgd,256.0,1232.0,0.8301514983177185,1232.0,0.713671863079071,7.0,0.8301514983177185,7.0,0.713671863079071
bs256-swadist-replicas,256.0,1936.0,0.8582905530929565,1936.0,0.7063477039337158,11.0,0.8582905530929565,11.0,0.7063477039337158
bs256-swadist,256.0,1760.0,0.8524442315101624,1760.0,0.705761730670929,10.0,0.8524442315101624,10.0,0.705761730670929
bs64-codist,64.0,7744.0,0.8696159720420837,7744.0,0.7056130766868591,11.0,0.8696159720420837,11.0,0.7056130766868591
bs64-sgd,64.0,4928.0,0.883457362651825,4928.0,0.7036226391792297,7.0,0.883457362651825,7.0,0.7036226391792297
bs64-swadist-replicas,64.0,7040.0,0.9304924607276917,7040.0,0.7029259204864502,10.0,0.9304924607276917,10.0,0.7029259204864502
bs64-swadist,64.0,7040.0,0.8738971948623657,7040.0,0.7112858295440674,10.0,0.8738971948623657,10.0,0.7112858295440674
bs4096-codist,4096.0,2178.0,0.985991358757019,2145.0,0.6696258783340454,198.0,0.985991358757019,195.0,0.6696258783340454
bs4096-sgd,4096.0,1298.0,1.152008295059204,1397.0,0.6180373430252075,118.0,1.152008295059204,127.0,0.6180373430252075
bs4096-swadist-replicas,4096.0,2200.0,1.9035552740097046,2112.0,0.3513262867927551,200.0,1.9035552740097046,192.0,0.3513262867927551
bs4096-swadist,4096.0,2178.0,1.0656719207763672,2189.0,0.6350746154785156,198.0,1.0656719207763672,199.0,0.6350746154785156
